GEO2010,forecl_ssl_sf_condo_1995,forecl_ssl_sf_condo_1996,forecl_ssl_sf_condo_1997,forecl_ssl_sf_condo_1998,forecl_ssl_sf_condo_1999,forecl_ssl_sf_condo_2000,forecl_ssl_sf_condo_2001,forecl_ssl_sf_condo_2002,forecl_ssl_sf_condo_2003,forecl_ssl_sf_condo_2004,forecl_ssl_sf_condo_2005,forecl_ssl_sf_condo_2006,forecl_ssl_sf_condo_2007,forecl_ssl_sf_condo_2008,forecl_ssl_sf_condo_2009,forecl_ssl_sf_condo_2010,forecl_ssl_sf_condo_2011,forecl_ssl_sf_condo_2012,forecl_ssl_sf_condo_2013,forecl_ssl_1kpcl_sf_condo_1995,forecl_ssl_1kpcl_sf_condo_1996,forecl_ssl_1kpcl_sf_condo_1997,forecl_ssl_1kpcl_sf_condo_1998,forecl_ssl_1kpcl_sf_condo_1999,forecl_ssl_1kpcl_sf_condo_2000,forecl_ssl_1kpcl_sf_condo_2001,forecl_ssl_1kpcl_sf_condo_2002,forecl_ssl_1kpcl_sf_condo_2003,forecl_ssl_1kpcl_sf_condo_2004,forecl_ssl_1kpcl_sf_condo_2005,forecl_ssl_1kpcl_sf_condo_2006,forecl_ssl_1kpcl_sf_condo_2007,forecl_ssl_1kpcl_sf_condo_2008,forecl_ssl_1kpcl_sf_condo_2009,forecl_ssl_1kpcl_sf_condo_2010,forecl_ssl_1kpcl_sf_condo_2011,forecl_ssl_1kpcl_sf_condo_2012,forecl_ssl_1kpcl_sf_condo_2013,trustee_ssl_sf_condo_1995,trustee_ssl_sf_condo_1996,trustee_ssl_sf_condo_1997,trustee_ssl_sf_condo_1998,trustee_ssl_sf_condo_1999,trustee_ssl_sf_condo_2000,trustee_ssl_sf_condo_2001,trustee_ssl_sf_condo_2002,trustee_ssl_sf_condo_2003,trustee_ssl_sf_condo_2004,trustee_ssl_sf_condo_2005,trustee_ssl_sf_condo_2006,trustee_ssl_sf_condo_2007,trustee_ssl_sf_condo_2008,trustee_ssl_sf_condo_2009,trustee_ssl_sf_condo_2010,trustee_ssl_sf_condo_2011,trustee_ssl_sf_condo_2012,trustee_ssl_sf_condo_2013,trustee_ssl_1kpcl_sf_condo_1995,trustee_ssl_1kpcl_sf_condo_1996,trustee_ssl_1kpcl_sf_condo_1997,trustee_ssl_1kpcl_sf_condo_1998,trustee_ssl_1kpcl_sf_condo_1999,trustee_ssl_1kpcl_sf_condo_2000,trustee_ssl_1kpcl_sf_condo_2001,trustee_ssl_1kpcl_sf_condo_2002,trustee_ssl_1kpcl_sf_condo_2003,trustee_ssl_1kpcl_sf_condo_2004,trustee_ssl_1kpcl_sf_condo_2005,trustee_ssl_1kpcl_sf_condo_2006,trustee_ssl_1kpcl_sf_condo_2007,trustee_ssl_1kpcl_sf_condo_2008,trustee_ssl_1kpcl_sf_condo_2009,trustee_ssl_1kpcl_sf_condo_2010,trustee_ssl_1kpcl_sf_condo_2011,trustee_ssl_1kpcl_sf_condo_2012,trustee_ssl_1kpcl_sf_condo_2013
Tract 78.09,11,14,30,30,35,36,22,22,35,22,22,20,25,55,64,45,0,0,0,12,16,34,34,39,40,25,25,39,24,24,22,28,61,71,50,0,0,0,4,2,11,12,12,16,10,9,1,2,3,1,10,24,22,18,5,1,0,4.5,2.2,12,13,13,18,11,10,1.1,2.2,3.3,1.1,11,27,24,20,5.5,1.1,0
Tract 79.01,17,11,12,22,23,30,27,24,28,14,13,12,19,46,47,31,0,0,1,25,16,18,32,34,44,40,35,41,20,18,17,26,61,62,41,0,0,1.3,8,4,9,11,5,11,16,9,0,1,3,2,3,20,18,13,2,1,0,12,5.9,13,16,7.3,16,23,13,0,1.4,4.2,2.8,4.1,27,24,17,2.6,1.3,0
Tract 79.03,11,12,9,13,18,11,17,19,14,14,14,15,31,27,35,24,0,1,0,18,20,15,22,30,18,28,32,23,23,23,24,50,44,56,39,0,1.6,0,1,6,7,9,8,7,6,11,0,5,3,0,9,17,12,7,5,1,0,1.7,10,12,15,13,12,10,18,0,8.3,4.9,0,15,28,19,11,7.9,1.6,0
Tract 80.01,17,21,28,28,34,27,27,17,18,11,6,10,20,28,21,62,0,0,1,18,22,29,29,35,28,28,18,19,11,6.2,10,20,26,19,57,0,0,0.9,5,8,17,13,11,15,3,6,0,3,0,1,4,10,7,45,2,0,0,5.2,8.3,18,13,11,16,3.1,6.2,0,3.1,0,1,4,9.4,6.5,42,1.8,0,0
Tract 80.02,11,11,12,22,19,8,13,8,12,4,4,5,11,18,13,15,0,0,0,11,11,12,21,18,7.7,13,7.7,12,3.8,3.8,4.7,10,17,12,14,0,0,0,4,7,4,9,12,7,5,1,1,0,0,2,3,5,3,5,0,0,0,3.9,6.8,3.9,8.7,12,6.8,4.8,1,1,0,0,1.9,2.8,4.7,2.8,4.7,0,0,0
Tract 81,5,5,5,11,10,4,4,3,4,1,3,3,7,9,10,5,0,0,0,7.6,7.6,7.6,17,15,6.1,6.1,4.5,6.1,1.4,4.2,4.2,9.7,12,13,6.7,0,0,0,1,2,0,2,1,0,1,0,0,2,0,1,0,1,0,4,1,0,0,1.5,3,0,3,1.5,0,1.5,0,0,2.8,0,1.4,0,1.4,0,5.4,1.3,0,0
Tract 82,1,5,4,3,1,1,2,1,1,1,0,2,3,3,4,3,0,0,0,1.6,8.1,6.5,4.9,1.6,1.6,3.2,1.6,1.6,1.6,0,3.2,4.8,4.8,6.3,4.7,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1.6,0,0,0,0,1.6,1.6,0,0,0,0,0,0,1.6,1.6,0,0,0
Tract 83.01,2,5,5,4,7,4,3,2,2,3,0,2,3,3,12,4,0,0,0,3,7.6,7.6,6.1,11,6.1,4.5,3,3,4.5,0,3,4.5,4.5,18,6,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,2,1,1,0,0,0,3,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,1.5,3,1.5,1.5,0,0,0
Tract 83.02,6,4,5,7,5,2,4,6,4,3,3,4,2,2,8,7,0,0,0,11,7.5,9.4,13,9.4,3.8,7.5,11,7.4,5.5,5.5,7.3,3.6,3.6,14,13,0,0,0,3,2,5,3,2,1,1,0,0,0,0,1,1,0,3,0,0,0,0,5.6,3.8,9.4,5.6,3.8,1.9,1.9,0,0,0,0,1.8,1.8,0,5.4,0,0,0,0
Tract 84.02,10,4,14,10,8,12,13,8,8,5,1,7,9,14,10,14,0,0,0,22,8.9,31,22,18,27,29,18,18,11,2.2,15,19,30,21,30,0,0,0,1,3,6,5,4,2,2,2,0,0,2,1,1,5,3,6,0,0,0,2.2,6.7,13,11,8.9,4.5,4.5,4.5,0,0,4.5,2.1,2.2,11,6.4,13,0,0,0
Tract 84.10,7,17,27,21,24,19,22,26,15,9,11,5,16,38,23,21,1,0,0,13,31,50,39,44,35,40,48,28,17,20,9.2,29,69,42,38,1.8,0,0,5,4,11,7,12,12,9,9,1,1,1,1,3,13,13,3,2,0,1,9.2,7.4,20,13,22,22,17,17,1.8,1.8,1.8,1.8,5.4,23,23,5.4,3.6,0,1.8
Tract 87.01,10,16,24,22,20,24,23,13,16,13,9,13,29,32,39,28,0,0,1,17,27,40,37,33,40,38,22,26,21,15,21,46,50,62,44,0,0,1.5,2,3,11,8,11,8,15,5,0,1,1,1,12,14,13,9,3,2,1,3.3,5,18,13,18,13,25,8.3,0,1.6,1.6,1.6,19,22,21,14,4.7,3.1,1.5
Tract 87.02,8,10,11,12,13,10,19,9,12,3,2,2,10,10,26,18,0,1,0,25,31,34,37,40,31,59,28,37,8.9,5.9,5.6,26,25,62,42,0,2,0,2,1,4,8,8,5,11,2,1,0,1,0,5,5,5,18,1,0,0,6.2,3.1,12,25,25,16,34,6.2,3.1,0,3,0,13,12,12,42,2.1,0,0
Tract 88.02,15,24,33,35,39,37,42,28,30,19,12,16,25,50,65,64,0,0,0,15,24,34,36,40,38,43,29,31,19,12,16,25,50,64,63,0,0,0,7,4,11,19,12,23,20,11,0,2,3,3,9,9,15,25,4,0,0,7.1,4.1,11,19,12,23,20,11,0,2,3,3,9,9,15,25,4,0,0
Tract 88.03,3,3,6,5,4,4,1,5,4,1,1,3,2,5,7,7,0,0,0,39,39,79,66,53,53,13,66,53,13,12,36,22,53,61,59,0,0,0,1,0,1,4,1,3,2,1,0,0,0,1,2,1,4,0,1,1,0,13,0,13,53,13,39,26,13,0,0,0,12,22,11,35,0,8.5,7.4,0
Tract 88.04,6,8,14,7,16,9,20,10,15,13,8,3,8,13,23,17,0,0,0,22,30,52,26,59,33,74,37,56,48,30,10,25,38,66,46,0,0,0,1,3,5,4,4,3,12,6,4,5,2,0,7,7,4,8,2,0,1,3.7,11,18,15,15,11,44,22,15,19,7.4,0,21,20,11,22,5.2,0,2.6
Tract 89.03,5,7,12,20,18,19,11,20,15,7,4,6,10,16,23,24,0,0,0,11,16,27,46,41,43,25,46,34,16,9.1,13,22,36,50,51,0,0,0,1,5,7,6,18,10,4,5,2,0,0,1,2,8,5,8,1,0,1,2.3,11,16,14,41,23,9.1,11,4.6,0,0,2.2,4.5,18,11,17,2.1,0,2.1
Tract 89.04,3,7,6,7,6,6,6,8,6,4,3,4,4,8,9,7,0,0,0,14,32,28,32,28,28,28,37,28,19,14,19,19,37,42,32,0,0,0,2,0,1,7,4,5,3,4,1,0,1,0,2,4,3,3,2,0,0,9.3,0,4.6,32,19,23,14,19,4.6,0,4.6,0,9.3,19,14,14,9.3,0,0
Tract 90,4,7,14,14,8,10,10,9,11,11,8,17,10,20,26,24,2,0,0,5.7,10,20,20,11,14,14,13,16,16,8.8,19,11,22,29,26,2.1,0,0,1,0,0,0,1,0,1,1,2,0,1,0,2,2,8,4,0,0,0,1.4,0,0,0,1.4,0,1.4,1.4,2.8,0,1.1,0,2.2,2.2,8.8,4.4,0,0,0
Tract 91.02,5,6,7,13,16,13,16,19,14,13,10,15,19,24,34,27,0,0,0,7.2,8.6,10,19,23,19,23,26,19,17,13,20,24,30,42,33,0,0,0,4,1,3,2,4,7,4,3,2,1,0,2,6,9,16,5,2,1,0,5.7,1.4,4.3,2.9,5.7,10,5.7,4.1,2.7,1.3,0,2.6,7.6,11,20,6.2,2.5,1.2,0
Tract 92.01,2,2,4,7,7,6,7,0,4,3,0,3,6,15,16,16,0,3,0,7.5,7.5,15,26,26,22,26,0,15,11,0,11,22,54,57,57,0,7,0,4,1,0,4,4,2,3,1,0,0,0,0,1,7,3,3,1,1,0,15,3.7,0,15,15,7.5,11,3.7,0,0,0,0,3.6,25,11,11,2.6,2.3,0
Tract 92.03,8,13,11,15,24,14,16,24,15,16,8,12,11,21,26,29,67,0,1,12,19,16,22,35,20,23,34,21,22,11,16,15,29,36,40,84,0,1.2,1,2,6,7,11,6,5,6,1,1,1,3,5,4,9,10,3,0,1,1.5,2.9,8.7,10,16,8.7,7.3,8.6,1.4,1.4,1.4,4.1,6.8,5.5,12,14,3.8,0,1.2
Tract 92.04,1,3,4,7,8,10,5,5,7,2,0,5,1,11,9,12,0,0,0,6.7,20,27,47,54,67,34,34,47,12,0,24,4,40,33,44,0,0,0,0,0,4,1,1,5,2,1,0,0,0,1,1,6,0,1,1,0,0,0,0,27,6.7,6.7,34,13,6.7,0,0,0,4.8,4,22,0,3.6,3.6,0,0
Tract 93.01,7,14,16,28,25,24,21,21,18,11,7,18,21,30,29,25,0,0,0,6.3,13,15,25,23,22,19,19,16,10,6.3,16,19,27,26,23,0,0,0,2,5,7,3,11,12,5,5,0,1,0,3,7,8,9,6,1,1,0,1.8,4.5,6.3,2.7,10,11,4.5,4.5,0,0.9,0,2.7,6.3,7.3,8.2,5.4,0.9,0.9,0
Tract 93.02,9,10,11,12,13,7,7,3,8,9,5,2,5,6,24,21,0,0,0,25,28,30,33,36,19,19,8.3,22,25,14,5.5,14,17,66,58,0,0,0,2,9,3,6,6,3,4,0,0,0,0,0,0,0,2,5,1,0,0,5.5,25,8.3,17,17,8.3,11,0,0,0,0,0,0,0,5.5,14,2.7,0,0
Tract 94,7,19,25,29,35,32,32,28,22,14,15,10,21,56,57,47,0,0,0,4.5,12,16,19,23,21,21,18,14,9,9.6,6.4,13,36,37,30,0,0,0,3,4,6,9,11,10,12,7,1,1,0,4,3,15,15,10,7,1,1,1.9,2.6,3.9,5.8,7.1,6.4,7.7,4.5,0.6,0.6,0,2.6,1.9,9.6,9.6,6.4,4.5,0.6,0.6
Tract 95.01,2,4,5,7,6,7,6,5,6,2,2,2,8,14,14,13,2,0,0,6.8,14,17,24,20,24,20,17,20,6.8,6.8,5.5,22,36,36,33,5.1,0,0,1,1,1,3,4,2,2,1,1,0,0,0,2,4,3,5,2,0,0,3.4,3.4,3.4,10,14,6.8,6.8,3.4,3.4,0,0,0,5.4,10,7.7,13,5.1,0,0
Tract 95.03,11,6,3,19,22,23,20,11,12,10,8,14,15,20,21,27,0,0,0,8.8,4.8,2.4,15,18,18,16,8.7,9.5,7.9,6.3,11,12,16,17,21,0,0,0,0,3,1,5,5,4,3,4,0,1,1,1,2,8,6,5,0,1,0,0,2.4,0.8,4,4,3.2,2.4,3.2,0,0.8,0.8,0.8,1.6,6.4,4.8,4,0,0.8,0
Tract 95.04,7,9,8,10,15,15,16,7,10,8,9,10,9,12,13,9,0,0,0,8.3,11,9.5,12,18,18,19,8.3,12,9.5,11,12,11,14,15,11,0,0,0,2,3,1,2,4,3,4,2,0,0,0,0,3,5,4,5,0,0,0,2.4,3.6,1.2,2.4,4.8,3.6,4.8,2.4,0,0,0,0,3.6,5.9,4.7,5.9,0,0,0
Tract 95.05,5,5,12,21,15,13,12,16,22,11,12,6,19,27,34,31,0,0,0,4.6,4.6,11,19,14,12,11,15,20,10,11,5.5,17,25,31,28,0,0,0,3,1,1,7,8,3,7,2,0,1,0,0,3,10,11,7,2,0,0,2.7,0.9,0.9,6.4,7.3,2.7,6.4,1.8,0,0.9,0,0,2.7,9.1,10,6.4,1.8,0,0
Tract 95.07,2,4,10,11,9,5,7,10,6,4,7,4,8,12,17,26,0,0,1,3.5,7.1,18,19,16,8.8,12,18,11,7.1,12,7.1,14,21,30,46,0,0,1.8,0,2,1,7,1,1,3,3,2,0,1,0,0,7,5,4,1,1,0,0,3.5,1.8,12,1.8,1.8,5.3,5.3,3.5,0,1.8,0,0,12,8.8,7.1,1.8,1.8,0
Tract 95.08,5,7,6,9,14,11,5,8,8,12,6,10,17,21,27,19,0,0,0,6.1,8.5,7.3,11,17,13,6.1,9.7,9.7,15,7.3,12,21,26,33,23,0,0,0,3,0,4,2,7,3,2,3,1,0,0,1,1,7,7,7,1,0,0,3.7,0,4.9,2.4,8.5,3.7,2.4,3.7,1.2,0,0,1.2,1.2,8.5,8.5,8.5,1.2,0,0
Tract 95.09,10,7,14,14,14,19,14,21,21,23,9,12,17,30,39,48,0,0,3,8.1,5.7,11,11,11,15,11,17,17,19,7.2,9.6,13,23,29,36,0,0,2.3,4,3,2,3,5,4,9,3,1,1,2,0,3,14,5,10,4,3,0,3.2,2.4,1.6,2.4,4,3.2,7.3,2.4,0.8,0.8,1.6,0,2.3,11,3.8,7.5,3,2.3,0
Tract 96.01,5,5,3,7,9,10,5,9,12,4,8,3,7,5,24,18,0,0,0,13,13,8,19,24,27,13,24,32,11,21,8,19,13,64,48,0,0,0,1,1,2,0,1,2,1,1,1,2,1,0,1,0,3,7,1,1,0,2.7,2.7,5.4,0,2.7,5.4,2.7,2.7,2.7,5.3,2.7,0,2.7,0,8,19,2.7,2.7,0
Tract 96.02,0,0,2,3,6,3,5,4,2,3,1,7,2,0,6,4,0,0,0,0,0,21,31,62,31,52,40,20,30,10,70,20,0,60,40,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,10,0,0,10,0,0,0
Tract 96.03,2,7,17,14,16,14,5,15,12,9,11,9,4,21,31,18,0,0,0,3.7,13,31,26,29,26,9.2,28,22,17,19,15,6.8,36,53,31,0,0,0,0,2,6,5,7,6,5,1,0,1,1,1,1,5,7,10,4,0,0,0,3.7,11,9.2,13,11,9.2,1.8,0,1.8,1.7,1.7,1.7,8.5,12,17,6.8,0,0
Tract 96.04,11,5,11,8,9,15,8,19,10,15,14,7,17,25,26,23,0,0,1,13,5.9,13,9.4,11,18,9.4,22,12,18,16,8.2,20,29,30,27,0,0,1.2,2,4,3,4,8,4,2,5,2,0,1,1,1,5,8,7,0,0,0,2.3,4.7,3.5,4.7,9.4,4.7,2.3,5.8,2.3,0,1.2,1.2,1.2,5.8,9.4,8.2,0,0,0
Tract 97,27,6,14,13,15,11,7,14,8,9,13,12,13,21,36,28,0,0,0,44,9.7,23,21,24,18,11,22,13,14,21,19,21,34,58,45,0,0,0,2,1,4,5,4,4,7,3,0,1,0,2,4,4,9,8,1,1,0,3.2,1.6,6.5,8.1,6.5,6.5,11,4.8,0,1.6,0,3.2,6.4,6.4,14,13,1.6,1.6,0
Tract 98.01,1,4,2,5,3,8,5,8,4,2,2,3,7,8,17,15,0,0,0,6,24,12,30,18,48,30,48,24,12,12,14,26,27,58,51,0,0,0,0,3,1,2,1,5,2,1,0,0,0,0,1,4,6,6,2,0,0,0,18,6,12,6,30,12,6,0,0,0,0,3.7,14,20,20,6.8,0,0
Tract 98.02,2,3,5,5,2,2,2,3,6,3,1,4,5,12,27,31,0,1,0,13,19,32,32,13,13,13,19,39,19,6.5,16,13,31,69,84,0,2.7,0,1,0,0,2,1,0,1,2,0,1,0,0,1,3,5,11,0,1,0,6.5,0,0,13,6.5,0,6.5,13,0,6.5,0,0,2.6,7.7,13,30,0,2.7,0
Tract 98.03,4,6,3,6,7,11,6,7,6,9,4,4,2,11,12,11,0,0,0,19,28,14,28,33,52,28,33,24,34,15,15,7.4,38,41,38,0,0,0,0,2,1,0,0,4,2,2,1,1,1,0,2,1,5,6,2,0,0,0,9.4,4.7,0,0,19,9.4,9.4,4,3.8,3.8,0,7.4,3.5,17,20,6.8,0,0
Tract 98.04,4,6,8,10,12,10,14,14,18,11,5,10,8,17,25,20,1,1,0,9.8,15,20,24,29,24,34,33,43,26,12,20,16,35,50,40,2,2,0,0,1,0,2,0,3,2,1,0,2,1,0,1,5,8,9,4,1,0,0,2.4,0,4.9,0,7.3,4.9,2.4,0,4.7,2.3,0,2,10,16,18,7.9,2,0
Tract 98.07,10,14,13,16,10,17,14,11,13,9,11,7,13,35,46,42,0,0,0,16,23,21,26,16,28,23,18,21,15,18,9.6,18,47,63,57,0,0,0,3,2,7,7,5,3,7,3,1,0,0,2,1,7,17,11,3,1,0,4.9,3.3,11,11,8.2,4.9,11,4.9,1.6,0,0,2.7,1.4,9.5,23,15,4.1,1.4,0
Tract 98.10,1,1,2,2,0,3,5,1,2,1,2,0,1,1,3,2,0,0,0,23,23,47,47,0,70,116,23,47,23,47,0,19,19,57,38,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,1,0,1,0,0,0,23,0,0,0,0,0,23,47,0,0,23,0,0,19,0,19,0,0,0
Tract 98.11,1,0,4,10,5,4,4,4,1,3,4,3,5,7,12,6,0,0,0,4,0,16,40,20,16,16,16,4,12,16,11,18,25,43,22,0,0,0,1,0,0,3,2,0,1,3,0,0,1,0,2,0,4,2,0,0,0,4,0,0,12,8,0,4,12,0,0,4,0,7.2,0,14,7.2,0,0,0
Tract 99.01,8,9,4,6,6,7,6,6,12,8,4,9,11,16,14,15,1,0,0,8.3,9.4,4.2,6.3,6.3,7.3,6.3,6.2,12,8.3,4.1,9.3,11,17,14,16,1,0,0,2,4,2,2,0,2,4,1,1,0,2,0,3,5,5,3,1,0,0,2.1,4.2,2.1,2.1,0,2.1,4.2,1,1,0,2.1,0,3.1,5.2,5.2,3.1,1,0,0
Tract 99.02,13,21,25,19,20,25,27,22,21,17,11,9,11,30,46,40,0,0,1,13,20,24,18,19,24,26,21,20,16,11,8.7,10,28,43,37,0,0,0.9,5,2,10,11,8,2,8,5,0,0,2,0,3,12,15,19,3,1,2,4.8,1.9,9.7,11,7.7,1.9,7.7,4.8,0,0,1.9,0,2.8,11,14,17,2.7,0.9,1.8
Tract 99.03,4,5,5,9,9,6,5,10,8,5,4,4,5,11,14,19,0,0,0,10,13,13,23,23,15,13,26,20,13,10,10,9,20,25,34,0,0,0,1,1,1,3,2,4,1,0,1,0,0,0,1,1,5,3,2,0,0,2.6,2.6,2.6,7.7,5.1,10,2.6,0,2.6,0,0,0,1.8,1.8,9,5.4,3.6,0,0
Tract 99.04,0,0,1,2,0,2,1,3,2,2,1,2,8,14,12,19,0,0,0,0,0,9.7,19,0,19,9.7,29,19,19,7.6,9.8,23,34,27,38,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,7,5,6,2,0,1,0,0,0,9.7,9.7,0,0,9.7,0,0,0,0,2.9,17,11,12,3.9,0,2
Tract 99.05,10,6,18,15,14,15,17,19,13,13,11,6,10,20,35,32,0,0,0,18,11,33,27,26,27,31,35,23,23,19,10,17,32,57,51,0,0,0,3,2,1,6,7,7,6,3,2,2,3,2,2,41,8,13,1,0,0,5.5,3.7,1.8,11,13,13,11,5.5,3.6,3.5,5.2,3.5,3.5,66,13,21,1.6,0,0
Tract 99.06,2,2,4,10,9,7,6,14,12,12,3,7,14,13,22,25,0,0,0,7,7,14,35,32,25,21,49,41,36,9,19,38,32,54,61,0,0,0,3,1,0,5,6,3,2,6,0,3,2,1,5,6,5,10,1,0,0,11,3.5,0,18,21,11,7,21,0,9,6,2.7,13,15,12,24,2.4,0,0
Tract 99.07,4,3,5,5,9,6,9,13,12,12,4,6,4,9,9,14,0,0,0,13,9.7,16,16,29,19,29,42,39,39,13,19,13,29,29,45,0,0,0,0,1,2,2,2,3,3,3,0,1,0,2,0,4,4,4,4,0,0,0,3.2,6.5,6.5,6.5,9.7,9.7,9.7,0,3.2,0,6.5,0,13,13,13,13,0,0
Tract 101,0,0,0,0,0,0,0,0,0,0,0,2,2,5,21,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,4.2,7.1,30,19,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,1.4,5.7,4.3,1.4,0,0
Tract 102,5,1,3,7,4,5,3,6,2,3,2,10,5,10,14,5,0,0,0,9.3,1.9,5.6,13,7.4,9.3,5.6,11,3.7,5.6,3.7,19,9.3,19,26,7.6,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1.9,0,0,0,3.7,0,0,0,0,1.9,0,0,0,1.9,1.9,1.5,1.5,0,0
Tract 103,10,10,15,11,9,11,6,6,9,6,8,7,8,16,24,23,0,0,1,14,14,20,15,12,15,8.2,8.2,12,8.2,11,9.1,10,21,31,30,0,0,1.3,3,2,2,3,1,4,4,1,1,0,0,0,1,2,8,7,1,0,0,4.1,2.7,2.7,4.1,1.4,5.4,5.4,1.4,1.4,0,0,0,1.3,2.6,10,9.1,1.3,0,0
Tract 104,9,12,15,26,30,30,19,24,14,14,8,11,17,29,24,23,0,0,0,14,19,24,42,48,48,30,38,22,22,13,17,26,41,34,32,0,0,0,1,1,3,6,12,11,7,7,0,2,3,1,2,9,8,12,1,2,0,1.6,1.6,4.8,9.6,19,18,11,11,0,3.2,4.8,1.6,3.1,13,11,17,1.4,2.8,0
Tract 105,9,7,7,3,2,1,0,4,4,3,3,3,9,11,11,9,0,0,0,28,22,22,9.3,6.2,3.1,0,12,12,9.3,4.8,4.8,8.8,11,11,8.8,0,0,0,2,1,5,2,0,0,0,0,0,0,0,0,1,7,2,2,0,0,1,6.2,3.1,15,6.2,0,0,0,0,0,0,0,0,1,6.9,2,2,0,0,1
Tract 106,25,35,35,35,45,34,34,40,26,20,15,15,25,34,37,465,0,0,0,26,37,37,37,47,36,36,42,27,21,16,15,26,35,25,318,0,0,0,5,19,12,17,22,18,19,11,2,3,3,4,7,11,14,438,0,0,2,5.2,20,13,18,23,19,20,11,2.1,3.1,3.1,4.1,7.2,11,9.6,300,0,0,1.4
Tract 107,0,0,1,1,1,3,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,2.7,2.7,2.7,8.2,0,0,0,0,0,0,5.1,5.1,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tract 108,3,2,1,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,7.7,5.2,2.6,0,0,0,0,0,0,0,5.1,2.6,0,0,0,2.6,2.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tract 109,1,6,5,5,4,3,4,3,1,3,3,0,1,0,4,5,0,0,0,11,66,55,55,44,33,44,33,11,33,33,0,11,0,44,55,0,0,0,1,1,3,4,0,1,2,3,3,1,1,0,0,0,1,4,0,0,0,11,11,33,44,0,11,22,33,33,11,11,0,0,0,11,44,0,0,0
Tract 110,15,15,16,16,13,6,9,9,1,4,3,5,9,14,22,16,1,0,0,16,16,18,18,14,6.6,9.9,9.9,1.1,4.4,3.3,5.5,9.9,15,24,18,1.1,0,0,5,8,8,5,7,4,3,2,0,1,1,0,1,4,5,10,2,0,0,5.5,8.8,8.8,5.5,7.7,4.4,3.3,2.2,0,1.1,1.1,0,1.1,4.4,5.5,11,2.2,0,0
Tract 111,27,35,30,31,44,37,27,35,29,24,27,29,32,58,56,48,0,0,1,19,24,21,22,31,26,19,24,20,17,19,20,22,40,39,33,0,0,0.7,6,12,12,10,22,6,9,9,0,0,4,4,12,24,18,17,9,0,0,4.2,8.4,8.4,7,15,4.2,6.3,6.3,0,0,2.8,2.8,8.3,17,12,12,6.2,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
